,property,expected_verdict,c_file,c_file_abs,yml_path,folder,strat_key
3,def-behavior,False,c/termination-crafted/Arrays01-EquivalentConstantIndices-2.c,/workspace/sv-benchmarks/c/termination-crafted/Arrays01-EquivalentConstantIndices-2.c,c/termination-crafted/Arrays01-EquivalentConstantIndices-2.yml,termination-crafted,def-behavior_False_termination-crafted
639,valid-memsafety,True,c/loops/heavy-2.c,/workspace/sv-benchmarks/c/loops/heavy-2.c,c/loops/heavy-2.yml,loops,valid-memsafety_True_loops
50,no-overflow,True,c/recursive/recHanoi01.c,/workspace/sv-benchmarks/c/recursive/recHanoi01.c,c/recursive/recHanoi01.yml,recursive,no-overflow_True_recursive
0,def-behavior,False,c/termination-crafted/Arrays03-ValueRestictsIndex-1.c,/workspace/sv-benchmarks/c/termination-crafted/Arrays03-ValueRestictsIndex-1.c,c/termination-crafted/Arrays03-ValueRestictsIndex-1.yml,termination-crafted,def-behavior_False_termination-crafted
58,no-overflow,True,c/loops-crafted-1/watermelon.c,/workspace/sv-benchmarks/c/loops-crafted-1/watermelon.c,c/loops-crafted-1/watermelon.yml,loops-crafted-1,no-overflow_True_loops-crafted-1
671,valid-memsafety,False,c/termination-crafted/NonTermination3-1.c,/workspace/sv-benchmarks/c/termination-crafted/NonTermination3-1.c,c/termination-crafted/NonTermination3-1.yml,termination-crafted,valid-memsafety_False_termination-crafted
325,termination,False,c/termination-restricted-15/NO_03.c,/workspace/sv-benchmarks/c/termination-restricted-15/NO_03.c,c/termination-restricted-15/NO_03.yml,termination-restricted-15,termination_False_termination-restricted-15
462,unreach-call,True,c/recursive-simple/fibo_15-1.c,/workspace/sv-benchmarks/c/recursive-simple/fibo_15-1.c,c/recursive-simple/fibo_15-1.yml,recursive-simple,unreach-call_True_recursive-simple
288,termination,True,c/termination-numeric/rec_counter3.c,/workspace/sv-benchmarks/c/termination-numeric/rec_counter3.c,c/termination-numeric/rec_counter3.yml,termination-numeric,termination_True_termination-numeric
27,no-overflow,True,c/termination-crafted-lit/HarrisLalNoriRajamani-SAS2010-Fig1.c,/workspace/sv-benchmarks/c/termination-crafted-lit/HarrisLalNoriRajamani-SAS2010-Fig1.c,c/termination-crafted-lit/HarrisLalNoriRajamani-SAS2010-Fig1.yml,termination-crafted-lit,no-overflow_True_termination-crafted-lit
258,termination,True,c/termination-restricted-15/PastaB7.c,/workspace/sv-benchmarks/c/termination-restricted-15/PastaB7.c,c/termination-restricted-15/PastaB7.yml,termination-restricted-15,termination_True_termination-restricted-15
349,termination,False,c/termination-bwb/not-03-false.c,/workspace/sv-benchmarks/c/termination-bwb/not-03-false.c,c/termination-bwb/not-03-false.yml,termination-bwb,termination_False_termination-bwb
585,unreach-call,False,c/recursive/Fibonacci04.c,/workspace/sv-benchmarks/c/recursive/Fibonacci04.c,c/recursive/Fibonacci04.yml,recursive,unreach-call_False_recursive
550,unreach-call,False,c/array-fpi/brs2f.c,/workspace/sv-benchmarks/c/array-fpi/brs2f.c,c/array-fpi/brs2f.yml,array-fpi,unreach-call_False_array-fpi
1,def-behavior,False,c/termination-crafted/Nyala-2lex-1.c,/workspace/sv-benchmarks/c/termination-crafted/Nyala-2lex-1.c,c/termination-crafted/Nyala-2lex-1.yml,termination-crafted,def-behavior_False_termination-crafted
684,valid-memsafety,False,c/loops/bubble_sort-1.c,/workspace/sv-benchmarks/c/loops/bubble_sort-1.c,c/loops/bubble_sort-1.yml,loops,valid-memsafety_False_loops
467,unreach-call,True,c/array-fpi/ssina.c,/workspace/sv-benchmarks/c/array-fpi/ssina.c,c/array-fpi/ssina.yml,array-fpi,unreach-call_True_array-fpi
577,unreach-call,False,c/loop-acceleration/phases_1-2.c,/workspace/sv-benchmarks/c/loop-acceleration/phases_1-2.c,c/loop-acceleration/phases_1-2.yml,loop-acceleration,unreach-call_False_loop-acceleration
88,no-overflow,True,c/bitvector/s3_clnt_2.BV.c.cil-2a.c,/workspace/sv-benchmarks/c/bitvector/s3_clnt_2.BV.c.cil-2a.c,c/bitvector/s3_clnt_2.BV.c.cil-2a.yml,bitvector,no-overflow_True_bitvector
436,unreach-call,True,c/loop-invgen/id_build.i.p+nlh-reducer.c,/workspace/sv-benchmarks/c/loop-invgen/id_build.i.p+nlh-reducer.c,c/loop-invgen/id_build.i.p+nlh-reducer.yml,loop-invgen,unreach-call_True_loop-invgen
158,no-overflow,False,c/termination-crafted/Thun-1.c,/workspace/sv-benchmarks/c/termination-crafted/Thun-1.c,c/termination-crafted/Thun-1.yml,termination-crafted,no-overflow_False_termination-crafted
660,valid-memsafety,True,c/termination-crafted/McCarthy91_Recursion.c,/workspace/sv-benchmarks/c/termination-crafted/McCarthy91_Recursion.c,c/termination-crafted/McCarthy91_Recursion.yml,termination-crafted,valid-memsafety_True_termination-crafted
4,def-behavior,False,c/termination-crafted/SyntaxSupportPointer01-3.c,/workspace/sv-benchmarks/c/termination-crafted/SyntaxSupportPointer01-3.c,c/termination-crafted/SyntaxSupportPointer01-3.yml,termination-crafted,def-behavior_False_termination-crafted
327,termination,False,c/termination-crafted-lit/BradleyMannaSipma-CAV2005-Fig1-modified.c,/workspace/sv-benchmarks/c/termination-crafted-lit/BradleyMannaSipma-CAV2005-Fig1-modified.c,c/termination-crafted-lit/BradleyMannaSipma-CAV2005-Fig1-modified.yml,termination-crafted-lit,termination_False_termination-crafted-lit
2,def-behavior,False,c/termination-crafted/LexIndexValue-Array-2.c,/workspace/sv-benchmarks/c/termination-crafted/LexIndexValue-Array-2.c,c/termination-crafted/LexIndexValue-Array-2.yml,termination-crafted,def-behavior_False_termination-crafted
683,valid-memsafety,False,c/array-memsafety/selectionsort_unsafe.c,/workspace/sv-benchmarks/c/array-memsafety/selectionsort_unsafe.c,c/array-memsafety/selectionsort_unsafe.yml,array-memsafety,valid-memsafety_False_array-memsafety
601,valid-memsafety,True,c/loop-industry-pattern/aiob_4.c.v+lh-reducer.c,/workspace/sv-benchmarks/c/loop-industry-pattern/aiob_4.c.v+lh-reducer.c,c/loop-industry-pattern/aiob_4.c.v+lh-reducer.yml,loop-industry-pattern,valid-memsafety_True_loop-industry-pattern
372,termination,False,c/bitvector/jain_4-2.c,/workspace/sv-benchmarks/c/bitvector/jain_4-2.c,c/bitvector/jain_4-2.yml,bitvector,termination_False_bitvector
670,valid-memsafety,False,c/loops/matrix-2.c,/workspace/sv-benchmarks/c/loops/matrix-2.c,c/loops/matrix-2.yml,loops,valid-memsafety_False_loops
188,no-overflow,False,c/termination-nla/ps4-both-nt.c,/workspace/sv-benchmarks/c/termination-nla/ps4-both-nt.c,c/termination-nla/ps4-both-nt.yml,termination-nla,no-overflow_False_termination-nla
305,termination,False,c/termination-nla/dijkstra1-both-nt.c,/workspace/sv-benchmarks/c/termination-nla/dijkstra1-both-nt.c,c/termination-nla/dijkstra1-both-nt.yml,termination-nla,termination_False_termination-nla
249,termination,True,c/recursive-simple/id_b2_o3.c,/workspace/sv-benchmarks/c/recursive-simple/id_b2_o3.c,c/recursive-simple/id_b2_o3.yml,recursive-simple,termination_True_recursive-simple
81,no-overflow,True,c/termination-restricted-15/b.14.c,/workspace/sv-benchmarks/c/termination-restricted-15/b.14.c,c/termination-restricted-15/b.14.yml,termination-restricted-15,no-overflow_True_termination-restricted-15
345,termination,False,c/termination-restricted-15/Swingers.c,/workspace/sv-benchmarks/c/termination-restricted-15/Swingers.c,c/termination-restricted-15/Swingers.yml,termination-restricted-15,termination_False_termination-restricted-15
75,no-overflow,True,c/termination-restricted-15/java_Nested.c,/workspace/sv-benchmarks/c/termination-restricted-15/java_Nested.c,c/termination-restricted-15/java_Nested.yml,termination-restricted-15,no-overflow_True_termination-restricted-15
675,valid-memsafety,False,c/array-fpi/indp1.c,/workspace/sv-benchmarks/c/array-fpi/indp1.c,c/array-fpi/indp1.yml,array-fpi,valid-memsafety_False_array-fpi
115,no-overflow,False,c/termination-bwb/and-02-false.c,/workspace/sv-benchmarks/c/termination-bwb/and-02-false.c,c/termination-bwb/and-02-false.yml,termination-bwb,no-overflow_False_termination-bwb
442,unreach-call,True,c/loops-crafted-1/in-de61.c,/workspace/sv-benchmarks/c/loops-crafted-1/in-de61.c,c/loops-crafted-1/in-de61.yml,loops-crafted-1,unreach-call_True_loops-crafted-1
644,valid-memsafety,True,c/loop-acceleration/array_1-2.c,/workspace/sv-benchmarks/c/loop-acceleration/array_1-2.c,c/loop-acceleration/array_1-2.yml,loop-acceleration,valid-memsafety_True_loop-acceleration
