property,original_index,s123_pass,s123_errors,s42_pass,s42_complete,s42_errors,s999_pass,s999_complete,s999_errors,s123_complete
no-overflow,10,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 22}, ""endPos"": {""line"": 3, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 20}, ""endPos"": {""line"": 2, ""column"": 22}, ""data"": ""unsolved goals\nInt : Sort ?u.5\n\u22a2 Int""}]",False,,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 26}, ""endPos"": {""line"": 2, ""column"": 28}, ""data"": ""unexpected token 'by'; expected command""}]",False
def-behavior,11,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 25}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 23}, ""endPos"": {""line"": 3, ""column"": 25}, ""data"": ""unsolved goals\nNat : Sort ?u.5\n\u22a2 Nat""}]",True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}]",False
valid-memsafety,12,False,no code,False,,no code,False,,no code,
no-overflow,13,True,[],True,True,[],True,True,[],True
def-behavior,14,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 27}, ""endPos"": {""line"": 5, ""column"": 36}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 39}, ""endPos"": {""line"": 7, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 23}, ""endPos"": {""line"": 6, ""column"": 33}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 37}, ""endPos"": {""line"": 6, ""column"": 39}, ""data"": ""unsolved goals\nState : Sort ?u.61\nx\u271d : Sort ?u.58\nList : x\u271d\ns : State\n\u22a2 ?m.64""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 26}, ""endPos"": {""line"": 2, ""column"": 28}, ""data"": ""unexpected token 'by'; expected command""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 8}, ""data"": ""unknown namespace 'Fin'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 5}, ""endPos"": {""line"": 6, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 5}, ""endPos"": {""line"": 7, ""column"": 8}, ""data"": ""unknown namespace 'Int'""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 5}, ""endPos"": {""line"": 8, ""column"": 6}, ""data"": ""unknown namespace 'Z'""}, {""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 29}, ""endPos"": {""line"": 10, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 27}, ""endPos"": {""line"": 9, ""column"": 29}, ""data"": ""unsolved goals\n\u03b1 : Type\n\u22a2 ?m.5 \u03b1""}]",False
no-overflow,15,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 38}, ""endPos"": {""line"": 5, ""column"": 30}, ""data"": ""unsolved goals\nw : \u2115\n\u22a2 Bool""}]",True,True,[],True,True,[],False
valid-memsafety,16,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 41}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 39}, ""endPos"": {""line"": 3, ""column"": 41}, ""data"": ""unsolved goals\n\u2124 : Sort ?u.5\nidx : \u2124\n\u22a2 Prop""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 26}, ""endPos"": {""line"": 3, ""column"": 28}, ""data"": ""unexpected token 'by'; expected command""}]",False,,no code,False
termination,17,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 5}, ""endPos"": {""line"": 2, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 31}, ""endPos"": {""line"": 6, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 29}, ""endPos"": {""line"": 5, ""column"": 31}, ""data"": ""unsolved goals\n\u22a2 State""}]",True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 31}, ""endPos"": {""line"": 7, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 29}, ""endPos"": {""line"": 6, ""column"": 31}, ""data"": ""unsolved goals\n\u22a2 State""}]",False
unreach-call,18,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 3}, ""endPos"": {""line"": 3, ""column"": 6}, ""data"": ""unexpected token ':='; expected '=>'""}]",True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 7}, ""data"": ""fail to show termination for\n  fib\nwith errors\nfailed to infer structural recursion:\nCannot use parameter #1:\n  failed to eliminate recursive application\n    fib (n - 1)\n\n\nfailed to prove termination, possible solutions:\n  - Use `have`-expressions to prove the remaining goals\n  - Use `termination_by` to specify a different well-founded relation\n  - Use `decreasing_by` to specify your own tactic for discharging this kind of goal\nn : \u2115\n\u22a2 0 < n""}]",False
termination,19,False,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 37}, ""endPos"": {""line"": 15, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 35}, ""endPos"": {""line"": 14, ""column"": 37}, ""data"": ""unsolved goals\n\u22a2 ProgramState""}]",False,False,,
no-overflow,20,False,no code,False,,no code,False,,no code,
termination,21,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 26}, ""endPos"": {""line"": 4, ""column"": 28}, ""data"": ""unexpected token 'by'; expected command""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 26}, ""endPos"": {""line"": 4, ""column"": 28}, ""data"": ""unexpected token 'by'; expected command""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 17}, ""endPos"": {""line"": 6, ""column"": 22}, ""data"": ""unknown constant 'DecEq'""}]",False
termination,22,False,"[{""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 45}, ""endPos"": {""line"": 6, ""column"": 30}, ""data"": ""unsolved goals\ns : State\n\u22a2 Option State""}]",True,True,[],True,True,[],False
unreach-call,23,False,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 3}, ""endPos"": {""line"": 4, ""column"": 6}, ""data"": ""unexpected token ':='; expected '=>'""}]",False,,no code,
unreach-call,24,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 9}, ""data"": ""unknown namespace 'Lean'""}, {""severity"": ""error"", ""pos"": {""line"": 10, ""column"": 17}, ""endPos"": {""line"": 10, ""column"": 18}, ""data"": ""unknown constant 'CoeSort'""}, {""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 32}, ""endPos"": {""line"": 15, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 30}, ""endPos"": {""line"": 14, ""column"": 32}, ""data"": ""unsolved goals\nn : N\n\u22a2 sum""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 12, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 11, ""column"": 38}, ""endPos"": {""line"": 12, ""column"": 30}, ""data"": ""unsolved goals\nn : N\n\u22a2 sum""}]",True,True,[],False
def-behavior,25,False,no code,False,,no code,False,,no code,
valid-memsafety,26,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 52}, ""endPos"": {""line"": 5, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 14}, ""endPos"": {""line"": 4, ""column"": 22}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 38}, ""endPos"": {""line"": 4, ""column"": 46}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 50}, ""endPos"": {""line"": 4, ""column"": 52}, ""data"": ""unsolved goals\nx\u271d : Sort ?u.2\nVector : x\u271d\nNat : Sort ?u.15\nv : ?m.13\ni j : Nat\n\u22a2 ?m.20""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 34}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 32}, ""endPos"": {""line"": 3, ""column"": 34}, ""data"": ""unsolved goals\nNat : Sort ?u.5\nsize : Nat\n\u22a2 ?m.9 size""}]",True
unreach-call,27,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 24}, ""data"": ""unknown namespace 'Mathlib.Data.Vector'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 23}, ""data"": ""unknown namespace 'Mathlib.Data.Int64'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 46}, ""endPos"": null, ""data"": ""expected token""}]",True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 12}, ""endPos"": {""line"": 5, ""column"": 15}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 68}, ""endPos"": {""line"": 8, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 36}, ""endPos"": {""line"": 7, ""column"": 62}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 66}, ""endPos"": {""line"": 7, ""column"": 68}, ""data"": ""unsolved goals\nNat : Sort ?u.11\nN : Nat\nx\u271d : Sort ?u.16\nST : x\u271d\nn : Nat\n\u22a2 ?m.22""}]",False
unreach-call,28,False,no code,False,,no code,False,,no code,
no-overflow,29,False,no code,False,,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 26}, ""endPos"": {""line"": 14, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 24}, ""endPos"": {""line"": 13, ""column"": 26}, ""data"": ""unsolved goals\ns : S\n\u22a2 S""}]",
unreach-call,30,False,no code,False,,no code,False,,no code,
no-overflow,31,False,no code,False,,no code,False,False,Theorem is missing a header,
valid-memsafety,32,False,no code,False,,no code,False,,no code,
def-behavior,33,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 42}, ""endPos"": {""line"": 6, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 40}, ""endPos"": {""line"": 5, ""column"": 42}, ""data"": ""unsolved goals\ns : MemState\n\u22a2 MemState""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 14}, ""data"": ""unknown namespace 'Classical'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 45}, ""endPos"": {""line"": 8, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 43}, ""endPos"": {""line"": 7, ""column"": 45}, ""data"": ""unsolved goals\nInt : Sort ?u.11\nnondet_val current_val : Int\n\u22a2 Int""}]",True
termination,34,False,"[{""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 12}, ""endPos"": {""line"": 6, ""column"": 15}, ""data"": ""unexpected token ':='; expected '=>'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 19}, ""endPos"": {""line"": 5, ""column"": 31}, ""data"": ""unknown constant 'Unit'""}]",True,True,[],False,,no code,False
def-behavior,35,False,"[{""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 3}, ""endPos"": {""line"": 8, ""column"": 6}, ""data"": ""unexpected token ':='; expected '=>'""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 10}, ""data"": ""unknown namespace 'Array'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 20}, ""endPos"": {""line"": 7, ""column"": 35}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 0}, ""endPos"": {""line"": 7, ""column"": 36}, ""data"": ""invalid universe level in constructor 'State.mk', parameter 'a' has type\n  ?m.16\nat universe level\n  ?u.15\nwhich is not less than or equal to the inductive type's resulting universe level\n  1""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 28}, ""endPos"": {""line"": 9, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 26}, ""endPos"": {""line"": 8, ""column"": 28}, ""data"": ""unsolved goals\nState : Sort ?u.43\n\u22a2 State""}]",True,True,[],False
valid-memsafety,36,False,"[{""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 23}, ""endPos"": {""line"": 7, ""column"": 28}, ""data"": ""invalid binder annotation, type is not a class instance\n  ?m.12\nuse the command `set_option checkBinderAnnotations false` to disable the check""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 73}, ""endPos"": {""line"": 9, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 42}, ""endPos"": {""line"": 8, ""column"": 53}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 57}, ""endPos"": {""line"": 8, ""column"": 67}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 71}, ""endPos"": {""line"": 8, ""column"": 73}, ""data"": ""unsolved goals\nNat : Sort ?u.32\nx\u271d\u00b9 : Sort ?u.20\nMVector : x\u271d\u00b9\nx\u271d : Sort ?u.29\nMem : x\u271d\narray_size : Nat\na : ?m.35\n\u22a2 ?m.38""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 14}, ""data"": ""unknown namespace 'System.IO'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 12}, ""endPos"": {""line"": 4, ""column"": 24}, ""data"": ""unknown namespace 'BigOperators'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 19}, ""data"": ""unknown namespace 'Vector.Mutable'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 21}, ""endPos"": {""line"": 6, ""column"": 26}, ""data"": ""invalid binder annotation, type is not a class instance\n  ?m.10\nuse the command `set_option checkBinderAnnotations false` to disable the check""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 63}, ""endPos"": {""line"": 8, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 23}, ""endPos"": {""line"": 7, ""column"": 34}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 48}, ""endPos"": {""line"": 7, ""column"": 57}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 61}, ""endPos"": {""line"": 7, ""column"": 63}, ""data"": ""unsolved goals\nx\u271d\u00b9 : Sort ?u.12\nMVector : x\u271d\u00b9\nNat : Sort ?u.34\nx\u271d : Sort ?u.28\nST : x\u271d\nv : ?m.32\nn : Nat\n\u22a2 ?m.37""}]",True,True,[],False
valid-memsafety,37,False,"[{""severity"": ""error"", ""pos"": {""line"": 46, ""column"": 36}, ""endPos"": {""line"": 47, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 46, ""column"": 13}, ""endPos"": {""line"": 46, ""column"": 30}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 46, ""column"": 34}, ""endPos"": {""line"": 46, ""column"": 36}, ""data"": ""unsolved goals\nx\u271d : Sort ?u.460\nArray : x\u271d\n\u22a2 ?m.464""}]",False,,no code,False,,no code,False
termination,38,True,[],False,,no code,True,True,[],False
valid-memsafety,39,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 65}, ""endPos"": {""line"": 4, ""column"": 86}, ""data"": ""function expected at\n  Array (\u2115 \u00d7 \u2115)\nterm has type\n  Type""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 96}, ""endPos"": {""line"": 4, ""column"": 117}, ""data"": ""function expected at\n  Array (\u2115 \u00d7 \u2115)\nterm has type\n  Type""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 9}, ""data"": ""unknown namespace 'Lean'""}, {""severity"": ""error"", ""pos"": {""line"": 10, ""column"": 33}, ""endPos"": {""line"": 11, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 10, ""column"": 18}, ""endPos"": {""line"": 10, ""column"": 27}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 10, ""column"": 31}, ""endPos"": {""line"": 10, ""column"": 33}, ""data"": ""unsolved goals\nx\u271d : Sort ?u.44\nIO : x\u271d\n\u22a2 ?m.48""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 21}, ""endPos"": {""line"": 6, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 19}, ""endPos"": {""line"": 5, ""column"": 21}, ""data"": ""unsolved goals\nNat : Sort ?u.5\n\u22a2 Nat""}]",False
no-overflow,40,False,no code,True,True,[],True,True,[],
termination,41,True,[],False,,no code,False,,no code,True
termination,42,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 18}, ""endPos"": {""line"": 3, ""column"": 20}, ""data"": ""'id' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 27}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 25}, ""endPos"": {""line"": 3, ""column"": 27}, ""data"": ""unsolved goals\n\u2115 : Sort ?u.5\nx : \u2115\n\u22a2 \u2115""}]",False,,no code,False
no-overflow,43,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 60}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 36}, ""endPos"": {""line"": 2, ""column"": 67}, ""data"": ""unsolved goals\n\u22a2 \u2124""}]",True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 14}, ""data"": ""unknown namespace 'Classical'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 40}, ""endPos"": {""line"": 7, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 38}, ""endPos"": {""line"": 6, ""column"": 40}, ""data"": ""unsolved goals\n\u2124 : Sort ?u.37\nx y c : \u2124\n\u22a2 State""}]",False
termination,44,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 26}, ""endPos"": {""line"": 2, ""column"": 28}, ""data"": ""unexpected token 'by'; expected command""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 5}, ""endPos"": {""line"": 2, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 30}, ""endPos"": {""line"": 6, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 28}, ""endPos"": {""line"": 5, ""column"": 30}, ""data"": ""unsolved goals\n\u22a2 State""}]",True
no-overflow,45,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 8}, ""data"": ""unknown namespace 'Int'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 28}, ""endPos"": {""line"": 7, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 26}, ""endPos"": {""line"": 6, ""column"": 28}, ""data"": ""unsolved goals\n\u22a2 State""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 19}, ""endPos"": {""line"": 2, ""column"": 21}, ""data"": ""unexpected token 'by'; expected command""}]",True,True,[],False
