property,original_index,s42_pass,s42_errors,s123_pass,s123_errors,s999_pass,s999_errors,s999_complete,s42_complete,s123_complete
valid-memsafety,12,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 28}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 26}, ""endPos"": {""line"": 3, ""column"": 28}, ""data"": ""unsolved goals\nNat : Sort ?u.5\n\u22a2 Nat""}]",False,no code,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 5}, ""endPos"": {""line"": 2, ""column"": 9}, ""data"": ""unknown namespace 'Lean'""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 20}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 18}, ""endPos"": {""line"": 3, ""column"": 20}, ""data"": ""unsolved goals\nNat : Sort ?u.5\n\u22a2 Nat""}]",False,False,
no-overflow,13,False,Theorem is missing a header,False,no code,False,Theorem is missing a header,False,False,
def-behavior,14,False,"[{""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 29}, ""endPos"": {""line"": 8, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 17}, ""endPos"": {""line"": 7, ""column"": 23}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 27}, ""endPos"": {""line"": 7, ""column"": 29}, ""data"": ""unsolved goals\nx\u271d : Sort ?u.2\nIO : x\u271d\n\u22a2 ?m.6""}]",True,[],False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 14}, ""data"": ""unknown namespace 'Classical'""}, {""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 12}, ""endPos"": {""line"": 9, ""column"": 15}, ""data"": ""unexpected token ':='; expected '=>'""}]",False,False,True
no-overflow,15,True,[],True,[],True,[],True,True,True
valid-memsafety,16,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 22}, ""endPos"": {""line"": 5, ""column"": 35}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 33}, ""endPos"": {""line"": 7, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 31}, ""endPos"": {""line"": 6, ""column"": 33}, ""data"": ""unsolved goals\nState : Sort ?u.55\nInt : Sort ?u.57\ns : State\n\u22a2 Int""}]",False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 22}, ""endPos"": {""line"": 3, ""column"": 34}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 23}, ""endPos"": {""line"": 5, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 21}, ""endPos"": {""line"": 4, ""column"": 23}, ""data"": ""unsolved goals\n\u2124\u271d : Sort ?u.31\nArray\u271d : ?m.29\ni\u271d : \u2124\u271d\na\u271d : ?m.34\n\u2124 : Sort ?u.31\nx\u271d : Sort ?u.28\nArray : x\u271d\ni : \u2124\na : ?m.34\n\u22a2 \u2124""}]",False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 18}, ""data"": ""unknown namespace 'Std.Tactic.ST'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 8}, ""data"": ""unknown namespace 'Std'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 25}, ""endPos"": {""line"": 6, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 23}, ""endPos"": {""line"": 5, ""column"": 25}, ""data"": ""unsolved goals\nNat : Sort ?u.5\n\u22a2 Nat""}]",False,False,False
termination,17,True,[],True,[],False,no code,,True,True
unreach-call,18,False,,False,no code,True,[],True,False,
termination,19,False,no code,True,[],True,[],True,,True
no-overflow,20,True,[],False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 17}, ""data"": ""unknown namespace 'ProgramState'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 10}, ""endPos"": {""line"": 6, ""column"": 11}, ""data"": ""failed to infer binder type""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 8}, ""endPos"": {""line"": 6, ""column"": 9}, ""data"": ""failed to infer binder type""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 6}, ""endPos"": {""line"": 6, ""column"": 7}, ""data"": ""failed to infer binder type""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 4}, ""endPos"": {""line"": 6, ""column"": 5}, ""data"": ""failed to infer binder type""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 55}, ""endPos"": {""line"": 8, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 30}, ""endPos"": {""line"": 7, ""column"": 49}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 53}, ""endPos"": {""line"": 7, ""column"": 55}, ""data"": ""unsolved goals\nProgramState : Sort ?u.66\nx\u271d : Sort ?u.63\nOption : x\u271d\ns : ProgramState\n\u22a2 ?m.69""}]",False,no code,,False,False
termination,21,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 26}, ""endPos"": {""line"": 2, ""column"": 28}, ""data"": ""unexpected token 'by'; expected command""}]",False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 26}, ""endPos"": {""line"": 2, ""column"": 28}, ""data"": ""unexpected token 'by'; expected command""}]",False,"[{""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 10}, ""endPos"": null, ""data"": ""expected token""}]",False,False,False
termination,22,True,[],False,no code,True,[],True,True,
unreach-call,23,False,no code,False,no code,False,no code,,,
unreach-call,24,False,no code,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 20}, ""endPos"": {""line"": 7, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 18}, ""endPos"": {""line"": 6, ""column"": 20}, ""data"": ""unsolved goals\nNat : Sort ?u.5\n\u22a2 Nat""}]",False,no code,,,False
def-behavior,25,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 10}, ""endPos"": {""line"": 8, ""column"": 13}, ""data"": ""unexpected token ':='; expected '=>'""}]",False,no code,False,no code,,False,
valid-memsafety,26,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 39}, ""endPos"": {""line"": 5, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 37}, ""endPos"": {""line"": 4, ""column"": 39}, ""data"": ""unsolved goals\nNat : Sort ?u.9\n\u03b1 : Type\nsize : Nat\n\u22a2 ?m.13 \u03b1 size""}]",False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 66}, ""endPos"": {""line"": 6, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 20}, ""endPos"": {""line"": 5, ""column"": 25}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 40}, ""endPos"": {""line"": 5, ""column"": 45}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 40}, ""endPos"": {""line"": 5, ""column"": 45}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 49}, ""endPos"": {""line"": 5, ""column"": 54}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 64}, ""endPos"": {""line"": 5, ""column"": 66}, ""data"": ""unsolved goals\nNat : Sort ?u.11\nN : Nat\nx\u271d : Sort ?u.15\nFin : x\u271d\nInt : Sort ?u.28\narr : ?m.27 \u2192 Int\ni : ?m.31\nj : ?m.34\n\u22a2 ?m.38 \u2192 Int""}]",False,Theorem is missing a header,False,False,False
unreach-call,27,True,[],False,"[{""severity"": ""error"", ""pos"": {""line"": 18, ""column"": 26}, ""endPos"": {""line"": 18, ""column"": 27}, ""data"": ""unexpected token '+'; expected ')', '\u2191', '\u21a5', '\u21d1' or term""}]",True,[],True,True,False
unreach-call,28,False,no code,True,[],False,no code,,,True
no-overflow,29,False,no code,False,no code,True,[],True,,
unreach-call,30,True,[],False,no code,False,no code,,True,
no-overflow,31,False,no code,False,no code,False,no code,,,
valid-memsafety,32,False,no code,False,no code,False,no code,,,
def-behavior,33,True,[],True,[],True,[],True,True,True
termination,34,False,no code,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 46}, ""endPos"": {""line"": 3, ""column"": 30}, ""data"": ""unsolved goals\ny1 y2 : \u2124\n\u22a2 Option (\u2124 \u00d7 \u2124)""}]",True,[],True,,False
def-behavior,35,False,no code,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 5}, ""endPos"": {""line"": 2, ""column"": 11}, ""data"": ""unknown namespace 'Vector'""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 17}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 15}, ""endPos"": {""line"": 3, ""column"": 17}, ""data"": ""unsolved goals\nNat : Sort ?u.5\n\u22a2 Nat""}]",False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 15}, ""endPos"": {""line"": 3, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 13}, ""endPos"": {""line"": 2, ""column"": 15}, ""data"": ""unsolved goals\n\u22a2 ?m.2""}]",False,,False
valid-memsafety,36,False,"[{""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 12}, ""endPos"": {""line"": 6, ""column"": 14}, ""data"": ""unknown namespace 'ST'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 62}, ""endPos"": {""line"": 8, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 17}, ""endPos"": {""line"": 7, ""column"": 31}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 47}, ""endPos"": {""line"": 7, ""column"": 56}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 60}, ""endPos"": {""line"": 7, ""column"": 62}, ""data"": ""unsolved goals\nx\u271d\u00b9 : Sort ?u.2\nSTVector : x\u271d\u00b9\nNat : Sort ?u.26\nx\u271d : Sort ?u.20\nST : x\u271d\nmvec : ?m.24\ni j : Nat\n\u22a2 ?m.31""}]",False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}]",False,"[{""severity"": ""error"", ""pos"": {""line"": 1, ""column"": 35}, ""endPos"": {""line"": 1, ""column"": 37}, ""data"": ""unexpected identifier; expected command""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 0}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""invalid 'import' command, it must be used in the beginning of the file""}]",False,False,False
valid-memsafety,37,False,no code,False,no code,True,[],True,,
termination,38,True,[],False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 11}, ""data"": ""unknown namespace 'UInt32'""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 30}, ""endPos"": {""line"": 9, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 28}, ""endPos"": {""line"": 8, ""column"": 30}, ""data"": ""unsolved goals\n\u22a2 State""}]",False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 15}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 13}, ""endPos"": {""line"": 3, ""column"": 15}, ""data"": ""unsolved goals\n\u22a2 ?m.2""}]",False,True,False
valid-memsafety,39,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 11}, ""data"": ""unknown namespace 'Matrix'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 61}, ""endPos"": {""line"": 7, ""column"": 83}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 26}, ""endPos"": {""line"": 9, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 24}, ""endPos"": {""line"": 8, ""column"": 26}, ""data"": ""unsolved goals\nNat : Sort ?u.77\n\u22a2 Nat""}]",False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 5}, ""endPos"": {""line"": 2, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 21}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 19}, ""endPos"": {""line"": 3, ""column"": 21}, ""data"": ""unsolved goals\nNat : Sort ?u.5\n\u22a2 Nat""}]",False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 22}, ""endPos"": {""line"": 6, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 20}, ""endPos"": {""line"": 5, ""column"": 22}, ""data"": ""unsolved goals\nNat : Sort ?u.5\n\u22a2 Nat""}]",False,False,False
no-overflow,40,False,no code,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 12, ""column"": 23}, ""endPos"": {""line"": 13, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 12, ""column"": 21}, ""endPos"": {""line"": 12, ""column"": 23}, ""data"": ""unsolved goals\nNat : Sort ?u.64\nx y : Nat\n\u22a2 ?m.70 x y""}]",False,no code,,,False
termination,41,False,no code,False,no code,True,[],True,,
termination,42,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 6}, ""endPos"": {""line"": 4, ""column"": 9}, ""data"": ""unexpected token 'if'; expected term""}, {""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 0}, ""endPos"": {""line"": 15, ""column"": 5}, ""data"": ""unexpected identifier; expected command""}]",False,no code,False,"[{""severity"": ""error"", ""pos"": {""line"": 27, ""column"": 33}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 22, ""column"": 20}, ""endPos"": {""line"": 27, ""column"": 40}, ""data"": ""unsolved goals\ncase succ\nk : \u2115\nih : id_func k = k.min (2 : \u2115)\nrec_val : \u2115 := id_func k + (1 : \u2115)\ncurrent_id_val : \u2115 := if rec_val > (2 : \u2115) then (2 : \u2115) else rec_val\nrec_val_ih : \u2115 := k.min (2 : \u2115) + (1 : \u2115)\ncurrent_id_val_ih : \u2115 := if rec_val_ih > (2 : \u2115) then (2 : \u2115) else rec_val_ih\n\u22a2 id_func (k + (1 : \u2115)) = (k + (1 : \u2115)).min (2 : \u2115)""}, {""severity"": ""error"", ""pos"": {""line"": 33, ""column"": 8}, ""endPos"": {""line"": 33, ""column"": 13}, ""data"": ""unexpected token 'sorry'; expected command""}, {""severity"": ""error"", ""pos"": {""line"": 42, ""column"": 25}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 39, ""column"": 44}, ""endPos"": {""line"": 42, ""column"": 32}, ""data"": ""unsolved goals\ninput : \u2115\nresult : \u2115 := id_func input\n\u22a2 Outcome""}]",False,False,
no-overflow,43,False,no code,False,no code,False,no code,,,
termination,44,True,[],False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 5}, ""endPos"": {""line"": 2, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 30}, ""endPos"": {""line"": 6, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 28}, ""endPos"": {""line"": 5, ""column"": 30}, ""data"": ""unsolved goals\n\u22a2 State""}]",True,[],True,True,False
no-overflow,45,False,"[{""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 30}, ""endPos"": {""line"": 7, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 28}, ""endPos"": {""line"": 6, ""column"": 30}, ""data"": ""unsolved goals\n\u22a2 State""}]",False,no code,True,[],True,False,
valid-memsafety,46,True,[],False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 10}, ""data"": ""unknown namespace 'Array'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 47}, ""endPos"": {""line"": 6, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 28}, ""endPos"": {""line"": 5, ""column"": 41}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 45}, ""endPos"": {""line"": 5, ""column"": 47}, ""data"": ""unsolved goals\nNat : Sort ?u.11\nN\u271d : Nat\nx\u271d : Sort ?u.16\nArray : x\u271d\nN : Nat\n\u22a2 ?m.22""}]",False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 7}, ""data"": ""unknown namespace 'ST'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 17}, ""endPos"": {""line"": 7, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 15}, ""endPos"": {""line"": 6, ""column"": 17}, ""data"": ""unsolved goals\nNat : Sort ?u.5\n\u22a2 Nat""}]",False,True,False
no-overflow,47,False,"[{""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 17}, ""endPos"": {""line"": 9, ""column"": 22}, ""data"": ""unknown constant 'DecEq'""}]",False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 10}, ""endPos"": {""line"": 2, ""column"": 13}, ""data"": ""'Int' has already been declared""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 17}, ""endPos"": {""line"": 2, ""column"": 19}, ""data"": ""unexpected token 'by'; expected command""}]",False,no code,,False,False
unreach-call,48,True,[],True,[],False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 67}, ""endPos"": {""line"": 6, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}]",False,False,True
valid-memsafety,49,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 49}, ""endPos"": {""line"": 3, ""column"": 30}, ""data"": ""unsolved goals\nn : \u2115\n\u22a2 Vector \u2124 n""}]",False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 43}, ""endPos"": {""line"": 3, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 24}, ""endPos"": {""line"": 2, ""column"": 37}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 41}, ""endPos"": {""line"": 2, ""column"": 43}, ""data"": ""unsolved goals\nx\u271d : Sort ?u.2\nArray : x\u271d\n\u22a2 ?m.6""}]",False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 25}, ""endPos"": {""line"": 5, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 23}, ""endPos"": {""line"": 4, ""column"": 25}, ""data"": ""unsolved goals\nNat : Sort ?u.5\n\u22a2 Nat""}]",False,False,False
